family,breadth_decile,promo_days,observed_units,expected_units_observational,median_promotion_breadth,estimated_observational_uplift_pct
GROCERY I,7,5018,20049666.2632,15378328.182,41.0,30.3761
GROCERY I,8,5018,21829903.092,16417153.7563,53.0,32.9701
GROCERY I,9,5018,24950756.1439,18035253.465,65.0,38.3444
GROCERY I,10,5019,30248231.0796,20690188.8763,92.0,46.196
GROCERY II,1,380,16324.0,14218.0,1.0,14.8122
GROCERY II,2,379,5677.0,4747.0,1.0,19.5913
GROCERY II,3,379,7472.0,6347.0,1.0,17.7249
GROCERY II,4,380,12107.0,11420.0,1.0,6.0158
GROCERY II,5,379,13461.0,11377.0,1.0,18.3177
GROCERY II,6,379,26741.0,13588.5,1.0,96.7914
GROCERY II,7,380,6358.0,4040.5,2.0,57.3568
GROCERY II,8,379,3210.0,2737.5,2.0,17.2603
GROCERY II,9,379,5377.0,4546.5,3.0,18.2668
GROCERY II,10,380,9190.0,6701.5,5.0,37.1335
HARDWARE,1,10,16.0,9.0,1.0,77.7778
HARDWARE,2,10,20.0,10.5,1.0,90.4762
HARDWARE,3,10,14.0,5.0,1.0,180.0
HARDWARE,4,10,17.0,10.0,1.0,70.0
HARDWARE,5,10,23.0,9.0,1.0,155.5556
HARDWARE,6,9,15.0,12.0,1.0,25.0
HARDWARE,7,10,15.0,6.5,1.0,130.7692
HARDWARE,8,10,46.0,10.5,1.0,338.0952
HARDWARE,9,10,36.0,10.0,1.0,260.0
HARDWARE,10,10,23.0,7.0,2.0,228.5714
HOME AND KITCHEN I,1,1354,49008.0,31043.5,1.0,57.8688
HOME AND KITCHEN I,2,1354,38553.0,26574.0,1.0,45.0779
HOME AND KITCHEN I,3,1353,37165.0,11494.0,1.0,223.3426
HOME AND KITCHEN I,4,1354,45632.0,18222.0,1.0,150.4226
HOME AND KITCHEN I,5,1354,42863.0,19349.0,2.0,121.5257
HOME AND KITCHEN I,6,1353,49996.0,19769.5,2.0,152.8946
HOME AND KITCHEN I,7,1354,45809.0,16623.5,3.0,175.5677
HOME AND KITCHEN I,8,1353,58039.0,19254.0,4.0,201.4387
HOME AND KITCHEN I,9,1354,59398.0,20023.5,5.0,196.6414
HOME AND KITCHEN I,10,1354,93370.0,29341.5,9.0,218.2182
HOME AND KITCHEN II,1,1705,79576.0,25548.0,1.0,211.4764
HOME AND KITCHEN II,2,1705,81674.0,14110.0,1.0,478.8377
HOME AND KITCHEN II,3,1705,55775.0,16778.0,1.0,232.4294
HOME AND KITCHEN II,4,1705,55953.0,20596.5,1.0,171.6627
HOME AND KITCHEN II,5,1705,46950.0,14765.5,1.0,217.9709
HOME AND KITCHEN II,6,1705,48098.0,14221.0,1.0,238.2181
HOME AND KITCHEN II,7,1705,96317.0,19034.5,2.0,406.0128
HOME AND KITCHEN II,8,1705,52442.0,13876.5,2.0,277.9195
HOME AND KITCHEN II,9,1705,86063.0,14475.0,3.0,494.563
HOME AND KITCHEN II,10,1705,88538.0,10241.0,4.0,764.5445
HOME APPLIANCES,1,5,5.0,1.5,1.0,233.3333
HOME APPLIANCES,2,4,4.0,0.0,1.0,inf
HOME APPLIANCES,3,5,5.0,1.0,1.0,400.0
HOME APPLIANCES,4,4,5.0,0.0,1.0,inf
HOME APPLIANCES,5,5,8.0,2.0,1.0,300.0
HOME APPLIANCES,6,4,9.0,2.0,1.0,350.0
HOME APPLIANCES,7,4,6.0,0.5,1.0,1100.0
HOME APPLIANCES,8,5,5.0,0.0,1.0,inf
HOME APPLIANCES,9,4,6.0,0.5,1.0,1100.0
HOME APPLIANCES,10,5,11.0,5.5,1.0,100.0
HOME CARE,1,2919,890177.0,417037.5,1.0,113.4525
HOME CARE,2,2918,883346.0,448088.0,1.0,97.1367
HOME CARE,3,2918,897390.0,422263.5,2.0,112.519
HOME CARE,4,2919,739847.0,190911.0,3.0,287.535
HOME CARE,5,2918,785091.0,192308.0,5.0,308.2467
HOME CARE,6,2918,819209.0,232207.0,6.0,252.7926
HOME CARE,7,2919,864635.0,233907.0,8.0,269.649
HOME CARE,8,2918,920341.0,284059.0,9.0,223.9964
HOME CARE,9,2918,955686.0,356802.0,11.0,167.8477
HOME CARE,10,2919,1125362.0,387885.0,15.0,190.1277
LADIESWEAR,1,41,1221.0,1051.5,1.0,16.1198
LADIESWEAR,2,40,842.0,776.5,1.0,8.4353
LADIESWEAR,3,40,577.0,511.0,1.0,12.9159
LADIESWEAR,4,40,540.0,438.0,1.0,23.2877
LADIESWEAR,5,41,629.0,580.5,1.0,8.3549
LADIESWEAR,6,40,376.0,254.5,2.0,47.7407
LADIESWEAR,7,40,466.0,287.0,4.0,62.3693
LADIESWEAR,8,40,678.0,360.0,5.0,88.3333
LADIESWEAR,9,40,899.0,511.0,7.0,75.9295
LADIESWEAR,10,41,1670.0,980.5,12.0,70.3213
LAWN AND GARDEN,1,396,3526.0,2132.5,1.0,65.3458
LAWN AND GARDEN,2,396,3406.0,1987.5,1.0,71.3711
LAWN AND GARDEN,3,396,3176.0,2028.0,1.0,56.6075
LAWN AND GARDEN,4,396,5176.0,2934.5,1.0,76.3844
LAWN AND GARDEN,5,396,6140.0,3715.0,2.0,65.2759
LAWN AND GARDEN,6,396,6258.0,3812.5,2.0,64.1443
LAWN AND GARDEN,7,396,6070.0,3952.5,2.0,53.5737
LAWN AND GARDEN,8,396,5087.0,1372.5,2.0,270.6375
LAWN AND GARDEN,9,396,9557.0,2444.0,5.0,291.0393
LAWN AND GARDEN,10,396,18008.0,4390.5,9.0,310.1583
LINGERIE,1,184,2142.0,1752.5,1.0,22.2254
LINGERIE,2,184,2307.0,1926.5,1.0,19.7508
LINGERIE,3,184,1804.0,1531.0,1.0,17.8315
LINGERIE,4,183,1420.0,1317.0,1.0,7.8208
LINGERIE,5,184,1871.0,1473.0,1.0,27.0197
LINGERIE,6,184,2354.0,1270.0,1.0,85.3543
LINGERIE,7,183,2368.0,1355.0,1.0,74.7601
LINGERIE,8,184,2010.0,1213.5,1.0,65.6366
LINGERIE,9,184,2176.0,1804.0,2.0,20.6208
LINGERIE,10,184,2854.0,1709.5,3.0,66.9494
"LIQUOR,WINE,BEER",1,1627,165906.0,157626.5,1.0,5.2526
"LIQUOR,WINE,BEER",2,1627,195400.0,150568.5,1.0,29.7748
"LIQUOR,WINE,BEER",3,1627,113907.0,85551.0,1.0,33.1451
"LIQUOR,WINE,BEER",4,1627,90631.0,79105.5,1.0,14.5698
"LIQUOR,WINE,BEER",5,1627,152245.0,115562.5,2.0,31.7426
"LIQUOR,WINE,BEER",6,1627,130756.0,98685.5,2.0,32.4977
"LIQUOR,WINE,BEER",7,1627,224622.0,174943.5,3.0,28.3969
"LIQUOR,WINE,BEER",8,1627,166724.0,131152.5,3.0,27.1222
"LIQUOR,WINE,BEER",9,1627,236999.0,181215.5,4.0,30.783
"LIQUOR,WINE,BEER",10,1627,348035.0,262151.0,6.0,32.7613
MAGAZINES,1,13,46.0,32.5,1.0,41.5385
MAGAZINES,2,12,24.0,16.0,1.0,50.0
MAGAZINES,3,12,15.0,23.5,1.0,-36.1702
MAGAZINES,4,12,27.0,30.0,1.0,-10.0
MAGAZINES,5,12,53.0,23.0,1.0,130.4348
MAGAZINES,6,12,46.0,31.5,2.0,46.0317
MAGAZINES,7,12,40.0,35.0,2.0,14.2857
MAGAZINES,8,12,39.0,34.5,2.0,13.0435
MAGAZINES,9,12,67.0,45.0,3.0,48.8889
MAGAZINES,10,13,79.0,40.0,4.0,97.5
MEATS,1,1894,759504.6814,740618.1589,1.0,2.5501
MEATS,2,1893,773313.6259,762632.275,1.0,1.4006
MEATS,3,1893,812607.8956,796507.2784,1.0,2.0214
MEATS,4,1894,722575.0572,705479.5303,1.0,2.4232
MEATS,5,1893,867205.0276,844549.3768,2.0,2.6826
MEATS,6,1893,781637.4816,746906.4882,4.0,4.65
MEATS,7,1894,390604.5692,323840.3899,17.0,20.6164
MEATS,8,1893,656006.2749,461415.6508,21.0,42.1725
MEATS,9,1893,968262.5902,845779.9758,42.0,14.4816
MEATS,10,1894,2101989.5198,1645894.8154,50.0,27.711
PERSONAL CARE,1,3469,1081067.0,946962.0,1.0,14.1616
PERSONAL CARE,2,3468,1150205.0,963883.0,1.0,19.3304
PERSONAL CARE,3,3468,1234620.0,985460.0,2.0,25.2836
PERSONAL CARE,4,3468,984509.0,809268.0,4.0,21.6543
PERSONAL CARE,5,3468,1064054.0,852218.0,5.0,24.857
PERSONAL CARE,6,3468,1029607.0,823597.5,7.0,25.0134
PERSONAL CARE,7,3468,1089497.0,865272.0,8.0,25.9138
PERSONAL CARE,8,3468,1156212.0,901037.0,9.0,28.3201
PERSONAL CARE,9,3468,1310154.0,998867.5,11.0,31.1639
PERSONAL CARE,10,3469,1425126.0,1066922.5,14.0,33.5735
PET SUPPLIES,1,272,3942.0,3155.0,1.0,24.9445
PET SUPPLIES,2,271,4485.0,2696.5,1.0,66.3267
PET SUPPLIES,3,272,3664.0,3052.0,1.0,20.0524
PET SUPPLIES,4,271,3643.0,2913.5,1.0,25.0386
PET SUPPLIES,5,272,3968.0,2590.5,1.0,53.1751
PET SUPPLIES,6,271,4385.0,2551.0,1.0,71.8934
PET SUPPLIES,7,271,4230.0,3611.5,1.0,17.1258
PET SUPPLIES,8,272,4164.0,3458.5,1.0,20.399
PET SUPPLIES,9,271,4948.0,3912.5,1.0,26.4665
PET SUPPLIES,10,272,5215.0,3124.5,1.0,66.9067
PLAYERS AND ELECTRONICS,1,75,1427.0,1019.5,1.0,39.9706
PLAYERS AND ELECTRONICS,2,74,836.0,786.0,1.0,6.3613
PLAYERS AND ELECTRONICS,3,75,576.0,183.5,1.0,213.8965
PLAYERS AND ELECTRONICS,4,74,619.0,467.5,1.0,32.4064
PLAYERS AND ELECTRONICS,5,75,1751.0,1243.0,1.0,40.8689
PLAYERS AND ELECTRONICS,6,74,1796.0,1344.0,1.0,33.631
PLAYERS AND ELECTRONICS,7,74,1263.0,950.5,1.0,32.8774
PLAYERS AND ELECTRONICS,8,75,1498.0,1046.5,2.0,43.1438
PLAYERS AND ELECTRONICS,9,74,856.0,553.0,4.0,54.792
PLAYERS AND ELECTRONICS,10,75,2572.0,1961.0,10.0,31.1576
POULTRY,1,1740,845193.3204,792170.7143,1.0,6.6933
POULTRY,2,1739,797659.0658,780446.7444,1.0,2.2054
POULTRY,3,1740,718734.6896,689799.7474,1.0,4.1947
POULTRY,4,1739,879214.627,837250.3394,1.0,5.0122
POULTRY,5,1740,776753.9452,723453.2248,2.0,7.3675
POULTRY,6,1739,597344.557,550078.9542,5.0,8.5925
POULTRY,7,1739,316391.0601,240499.8736,13.0,31.5556
POULTRY,8,1740,470816.8152,322709.7673,19.0,45.8948
POULTRY,9,1739,991888.7224,538978.9213,30.0,84.0311
POULTRY,10,1740,1911249.145,1004381.9035,40.0,90.2911
PREPARED FOODS,1,1600,222569.771,208134.316,1.0,6.9356
PREPARED FOODS,2,1599,226487.4791,198592.4757,1.0,14.0464
PREPARED FOODS,3,1600,222365.2438,198626.7072,1.0,11.9513
PREPARED FOODS,4,1599,157923.2821,137866.4082,1.0,14.548
PREPARED FOODS,5,1600,148691.076,131352.6434,1.0,13.1999
PREPARED FOODS,6,1599,178093.2542,156846.0551,1.0,13.5465
PREPARED FOODS,7,1599,160513.4962,152060.4939,1.0,5.559
PREPARED FOODS,8,1600,220120.8759,195031.5811,2.0,12.8642
PREPARED FOODS,9,1599,158784.7077,134624.5059,3.0,17.9464
PREPARED FOODS,10,1600,104832.15,66204.4261,8.0,58.3461
PRODUCE,1,2778,6292475.7668,4066708.2446,1.0,54.7314
PRODUCE,2,2777,5425962.1071,3173088.5237,1.0,70.9994
PRODUCE,3,2777,5354887.1484,2008827.7199,2.0,166.5678
PRODUCE,4,2777,4409727.017,1836722.4731,2.0,140.0867
PRODUCE,5,2777,5181009.7812,1969873.2819,3.0,163.0123
PRODUCE,6,2777,6743147.1022,1856821.8007,5.0,263.1553
PRODUCE,7,2777,7704664.3741,2676576.6681,8.0,187.8552
PRODUCE,8,2777,5621660.9694,2976495.2655,32.0,88.8685
PRODUCE,9,2777,5278791.5473,165324.8308,117.0,3092.9817
PRODUCE,10,2777,15438957.2589,643754.8127,199.0,2298.2667
SCHOOL AND OFFICE SUPPLIES,1,338,13302.0,854.0,1.0,1457.6112
SCHOOL AND OFFICE SUPPLIES,2,337,2263.0,388.0,1.0,483.2474
SCHOOL AND OFFICE SUPPLIES,3,337,7132.0,292.5,1.0,2338.2906
SCHOOL AND OFFICE SUPPLIES,4,337,5250.0,458.5,2.0,1045.0382
SCHOOL AND OFFICE SUPPLIES,5,337,7367.0,335.5,2.0,2095.8271
SCHOOL AND OFFICE SUPPLIES,6,337,6039.0,224.0,3.0,2595.9821
SCHOOL AND OFFICE SUPPLIES,7,337,8828.0,255.0,4.0,3361.9608
SCHOOL AND OFFICE SUPPLIES,8,337,12022.0,256.5,5.0,4586.9396
SCHOOL AND OFFICE SUPPLIES,9,337,23452.0,330.0,7.0,7006.6667
SCHOOL AND OFFICE SUPPLIES,10,338,76656.0,592.0,10.0,12848.6486
SEAFOOD,1,1512,40282.311,35847.7933,1.0,12.3704
SEAFOOD,2,1512,27389.3171,25863.7248,1.0,5.8986
SEAFOOD,3,1511,47165.0769,44924.3315,1.0,4.9878
SEAFOOD,4,1512,42100.9151,43890.834,1.0,-4.0781
SEAFOOD,5,1512,52977.778,49180.394,1.0,7.7213
SEAFOOD,6,1511,28209.715,23719.6736,2.0,18.9296
SEAFOOD,7,1512,62049.354,55976.6402,2.0,10.8487
SEAFOOD,8,1511,37927.906,31314.6427,3.0,21.1188
SEAFOOD,9,1512,62946.1081,53547.0885,5.0,17.5528
SEAFOOD,10,1512,129089.8321,105397.4715,7.0,22.4791
