family,observed_units,fulfilled_units_sim,demand_revenue_sim,revenue_sim,unfulfilled_revenue_sim,list_revenue_sim,markdown_value_sim,cogs_sim,gross_margin_sim,avg_inventory_value_sim,gross_margin_pct_sim,markdown_pct_sim,price_realisation_pct_sim,revenue_shortfall_pct_sim,avg_list_price_sim,avg_net_price_sim,avg_unit_cost_sim
HOME CARE,16022744.0,15743165.01,52252583.904,51322078.545,930505.359,56919084.312,5597005.767,40429214.352,10892864.194,4927.501,21.225,9.833,90.167,1.781,3.615,3.26,2.568
LADIESWEAR,651159.0,633234.98,10056124.805,9782806.71,273318.095,9803224.67,20417.961,4716490.688,5066316.021,774.698,51.788,0.208,99.792,2.718,15.481,15.449,7.448
LAWN AND GARDEN,548842.0,533928.98,4947304.366,4811628.432,135675.934,4916491.471,104863.039,3306044.136,1505584.296,397.407,31.291,2.133,97.867,2.742,9.208,9.012,6.192
LINGERIE,653114.0,638776.51,6582270.853,6439421.67,142849.183,6484423.047,45001.377,2939804.355,3499617.315,522.078,54.347,0.694,99.306,2.17,10.151,10.081,4.602
"LIQUOR,WINE,BEER",7746640.0,7617076.19,56873085.314,55929770.78,943314.534,58959914.485,3030143.705,41427170.835,14502599.944,5203.568,25.93,5.139,94.861,1.659,7.74,7.343,5.439
MAGAZINES,266359.0,256552.44,910960.554,877903.698,33056.856,878307.439,403.74,633442.395,244461.303,87.751,27.846,0.046,99.954,3.629,3.424,3.422,2.469
MEATS,31086468.4,30705830.389,173936522.281,171755826.042,2180696.239,180632014.449,8876188.407,136907957.921,34847868.12,15567.76,20.289,4.914,95.086,1.254,5.883,5.594,4.459
PERSONAL CARE,24592051.0,24280827.358,96441480.312,95214925.917,1226554.395,104618134.428,9403208.511,64886190.505,30328735.412,7599.272,31.853,8.988,91.012,1.272,4.309,3.921,2.672
PET SUPPLIES,356584.0,348174.65,2489739.513,2431918.332,57821.181,2536325.945,104407.613,1743697.272,688221.06,213.667,28.3,4.116,95.884,2.322,7.285,6.985,5.008
PLAYERS AND ELECTRONICS,562608.0,545240.47,19169412.18,18582662.332,586749.848,18645689.785,63027.453,13936370.87,4646291.462,2100.176,25.003,0.338,99.662,3.061,34.197,34.082,25.56
POULTRY,31876004.473,31481758.61,134827255.324,133136235.52,1691019.804,139343199.716,6206964.196,106961008.137,26175227.383,11562.17,19.66,4.454,95.546,1.254,4.426,4.229,3.398
PREPARED FOODS,8799895.117,8727482.572,45953465.871,45573847.437,379618.435,46704730.276,1130882.84,32659449.815,12914397.622,4140.718,28.337,2.421,97.579,0.826,5.351,5.222,3.742
PRODUCE,122704684.681,120807039.421,169141434.761,166519617.807,2621816.954,179970652.199,13451034.392,133171495.034,33348122.773,12951.33,20.027,7.474,92.526,1.55,1.49,1.378,1.102
SCHOOL AND OFFICE SUPPLIES,269316.0,259252.66,726507.919,699764.634,26743.285,818736.731,118972.096,467732.202,232032.432,107.218,33.159,14.531,85.469,3.681,3.158,2.699,1.804
SEAFOOD,2015431.883,1998282.598,17340305.784,17189923.599,150382.185,18087077.53,897153.932,13321812.396,3868111.203,1954.23,22.502,4.96,95.04,0.867,9.051,8.602,6.667
