store_nbr,observed_units,fulfilled_units_sim,demand_revenue_sim,revenue_sim,unfulfilled_revenue_sim,list_revenue_sim,markdown_value_sim,cogs_sim,gross_margin_sim,avg_inventory_value_sim,gross_margin_pct_sim,markdown_pct_sim,price_realisation_pct_sim,revenue_shortfall_pct_sim,avg_list_price_sim,avg_net_price_sim,avg_unit_cost_sim,price_position_vs_chain_pct_sim
22,4090201.741,3963919.695,8573018.487,8323450.255,249568.233,9390221.142,1066770.887,6739584.175,1583866.079,1157.315,19.029,11.36,88.64,2.911,2.369,2.1,1.7,-2.566
23,11651380.673,11552953.04,28082102.456,27834765.511,247336.945,29517485.826,1682720.315,21633310.931,6201454.58,4936.9,22.28,5.701,94.299,0.881,2.555,2.409,1.873,-0.245
24,23767732.703,23386164.672,49495117.245,48829647.668,665469.578,52775711.805,3946064.137,38366784.681,10462862.986,8006.924,21.427,7.477,92.523,1.345,2.257,2.088,1.641,-1.64
25,11420997.873,11287236.755,24709308.982,24402810.802,306498.18,26078359.367,1675548.565,18910783.591,5492027.211,4603.692,22.506,6.425,93.575,1.24,2.31,2.162,1.675,-0.851
26,7755121.892,7682486.328,17440225.412,17250184.975,190040.438,18366824.888,1116639.913,13554125.969,3696059.006,3083.085,21.426,6.08,93.92,1.09,2.391,2.245,1.764,-1.692
27,19188021.38,19020932.527,39870050.442,39437621.159,432429.283,42613790.602,3176169.443,31225301.143,8212320.016,5574.508,20.824,7.453,92.547,1.085,2.24,2.073,1.642,-2.291
28,18383154.83,18166523.766,36781978.147,36280465.091,501513.056,39601178.607,3320713.516,29576557.017,6703908.074,4873.372,18.478,8.385,91.615,1.363,2.18,1.997,1.628,-5.069
29,9725157.691,9536151.19,18474168.07,18103559.653,370608.417,20597054.451,2493494.798,15328988.439,2774571.214,2695.569,15.326,12.106,87.894,2.006,2.16,1.898,1.607,-7.17
30,7382073.664,7278063.352,15743435.997,15502621.532,240814.465,16504979.412,1002357.881,11802868.044,3699753.488,2035.557,23.865,6.073,93.927,1.53,2.268,2.13,1.622,1.669
31,17746872.701,17541492.513,38137025.264,37663316.211,473709.053,40801013.818,3137697.607,28591455.865,9071860.346,5857.965,24.087,7.69,92.31,1.242,2.326,2.147,1.63,2.07
32,5951795.998,5905684.574,13239216.74,13101352.804,137863.936,13942079.104,840726.3,9919559.46,3181793.344,2457.331,24.286,6.03,93.97,1.041,2.361,2.218,1.68,2.356
33,14178501.294,13957034.784,30731687.364,30277346.414,454340.95,32468623.291,2191276.877,23434500.521,6842845.893,3808.012,22.601,6.749,93.251,1.478,2.326,2.169,1.679,-0.1
34,17090734.155,16885193.767,35701229.2,35234637.634,466591.566,37990629.088,2755991.454,26645215.349,8589422.285,5069.603,24.378,7.254,92.746,1.307,2.25,2.087,1.578,1.641
35,7676679.423,7615601.815,15783390.208,15630554.296,152835.912,16814633.0,1184078.704,12131085.624,3499468.672,2436.48,22.389,7.042,92.958,0.968,2.208,2.052,1.593,0.428
36,15322431.091,15112382.215,29895412.111,29434509.584,460902.527,32165629.504,2731119.92,23945458.355,5489051.229,5276.535,18.648,8.491,91.509,1.542,2.128,1.948,1.584,-4.55
37,19970635.61,19770181.736,40535228.685,40027169.556,508059.129,43030765.339,3003595.782,31613941.802,8413227.755,5690.301,21.019,6.98,93.02,1.253,2.177,2.025,1.599,-2.613
38,18859999.26,18574922.354,39022155.489,38474654.162,547501.326,41467405.375,2992751.213,30064643.881,8410010.282,5525.218,21.859,7.217,92.783,1.403,2.232,2.071,1.619,-2.02
39,20252192.53,19975334.527,41641070.499,40932516.121,708554.379,44682947.594,3750431.474,31610426.068,9322090.052,5910.934,22.774,8.393,91.607,1.702,2.237,2.049,1.582,0.323
40,18395757.407,18165280.796,36625433.028,36129984.531,495448.497,39459961.714,3329977.183,28148582.575,7981401.956,4749.686,22.091,8.439,91.561,1.353,2.172,1.989,1.55,-0.207
41,14991039.137,14791049.557,31331067.786,30870117.024,460950.762,33456126.862,2586009.837,24345138.813,6524978.211,5512.361,21.137,7.73,92.27,1.471,2.262,2.087,1.646,-2.222
42,8945767.885,8715791.17,17302997.609,16851099.857,451897.752,18954419.954,2103320.097,13720424.1,3130675.757,1971.634,18.578,11.097,88.903,2.612,2.175,1.933,1.574,-3.47
43,16391692.211,16113122.387,31541242.235,31000405.048,540837.187,33355457.081,2355052.033,24511347.314,6489057.734,3915.806,20.932,7.06,92.94,1.715,2.07,1.924,1.521,-1.934
44,62087553.25,61484752.815,133661579.218,132212253.992,1449325.226,143878460.868,11666206.876,100278113.678,31934140.314,17355.408,24.154,8.108,91.892,1.084,2.34,2.15,1.631,1.882
45,54498010.428,53611873.727,121493631.379,119603537.821,1890093.558,130768041.898,11164504.077,90353062.72,29250475.101,15236.634,24.456,8.538,91.462,1.556,2.439,2.231,1.685,2.684
46,41896062.123,40793194.119,98917439.76,96734535.908,2182903.852,105711338.138,8976802.231,72921145.778,23813390.13,11938.577,24.617,8.492,91.508,2.207,2.591,2.371,1.788,2.613
47,50948310.056,50069024.034,110899572.081,109031558.703,1868013.378,119392296.005,10360737.302,83033966.046,25997592.657,13816.27,23.844,8.678,91.322,1.684,2.385,2.178,1.658,1.709
48,35933130.268,35544059.667,84046956.449,83104005.406,942951.043,90917964.678,7813959.272,63343731.978,19760273.428,12295.793,23.778,8.595,91.405,1.122,2.558,2.338,1.782,1.552
49,43420095.786,42757565.629,93045135.409,91600889.521,1444245.889,100213355.696,8612466.175,69455174.237,22145715.284,11982.082,24.176,8.594,91.406,1.552,2.344,2.142,1.624,2.44
50,28653020.627,28250925.657,65159513.039,64255121.949,904391.09,69771964.505,5516842.556,48561948.471,15693173.478,10834.389,24.423,7.907,92.093,1.388,2.47,2.274,1.719,2.058
51,32911489.534,32489604.99,71114559.808,70098039.068,1016520.74,75698731.453,5600692.385,53100882.616,16997156.452,9161.52,24.248,7.399,92.601,1.429,2.33,2.158,1.634,2.367
52,2696169.732,2555073.747,5409088.444,5107061.125,302027.319,6031142.735,924081.61,4216146.635,890914.49,366.137,17.445,15.322,84.678,5.584,2.36,1.999,1.65,-3.017
53,11216167.285,10973750.65,22980374.31,22437345.704,543028.606,25229087.245,2791741.541,18291103.645,4146242.059,2920.257,18.479,11.066,88.934,2.363,2.299,2.045,1.667,-4.166
54,11057483.121,10891013.172,22521512.88,22189406.245,332106.636,24122068.854,1932662.61,17167731.863,5021674.381,2935.866,22.631,8.012,91.988,1.475,2.215,2.037,1.576,0.11
