family,year,bridge_case,margin_change_sim,volume_effect_sim,price_effect_sim,cost_effect_sim,bridge_residual
LAWN AND GARDEN,2014,normal,84841.47,87129.03,7301.75,-9589.31,0.0
LAWN AND GARDEN,2015,normal,25505.53,25126.48,10887.48,-10508.42,-0.0
LAWN AND GARDEN,2016,normal,78379.66,75684.35,17802.04,-15106.73,-0.0
LAWN AND GARDEN,2017,normal,208476.1,236672.22,-9801.11,-18395.01,0.0
LINGERIE,2014,normal,-46863.86,-61632.49,28229.92,-13461.28,0.0
LINGERIE,2015,normal,-44464.94,-56194.99,24474.34,-12744.3,0.0
LINGERIE,2016,normal,-167440.76,-169694.74,12286.32,-10032.34,-0.0
LINGERIE,2017,normal,-127731.89,-129224.23,7833.6,-6341.27,-0.0
"LIQUOR,WINE,BEER",2014,normal,427042.23,368493.26,214609.34,-156060.37,-0.0
"LIQUOR,WINE,BEER",2015,normal,458795.03,600378.27,49549.4,-191132.64,-0.0
"LIQUOR,WINE,BEER",2016,normal,-797476.36,156239.19,-749992.25,-203723.3,0.0
"LIQUOR,WINE,BEER",2017,normal,-1995194.67,-1265343.65,-634940.09,-94910.93,-0.0
MAGAZINES,2014,assortment_change,11567.05,11567.05,0.0,0.0,0.0
MAGAZINES,2015,normal,31414.77,30370.34,3406.66,-2362.22,0.0
MAGAZINES,2016,normal,72257.17,70729.6,5993.1,-4465.53,0.0
MAGAZINES,2017,normal,-40565.55,-41977.53,4465.33,-3053.35,-0.0
MEATS,2014,normal,-1246555.8,-151875.97,-552368.96,-542310.86,0.0
MEATS,2015,normal,-638773.53,336203.5,-398926.65,-576050.39,0.0
MEATS,2016,normal,208304.09,342231.22,483405.07,-617332.19,-0.0
MEATS,2017,normal,-2713740.71,-2503927.39,121596.64,-331409.96,0.0
PERSONAL CARE,2014,normal,1318188.61,1480606.96,82465.03,-244883.38,-0.0
PERSONAL CARE,2015,normal,1056037.93,1549235.15,-198171.62,-295025.61,0.0
PERSONAL CARE,2016,normal,-2416055.36,518114.76,-2613274.45,-320895.67,-0.0
PERSONAL CARE,2017,normal,-2954669.35,-2040581.25,-738582.62,-175505.49,-0.0
PET SUPPLIES,2014,assortment_change,118936.89,118936.89,0.0,0.0,0.0
PET SUPPLIES,2015,normal,11331.05,16456.67,1371.95,-6497.58,-0.0
PET SUPPLIES,2016,normal,109683.2,138851.82,-19032.42,-10136.2,0.0
PET SUPPLIES,2017,normal,-40886.03,-43766.17,11259.35,-8379.21,0.0
PLAYERS AND ELECTRONICS,2014,assortment_change,831940.36,831940.36,0.0,0.0,0.0
PLAYERS AND ELECTRONICS,2015,normal,146564.69,124620.36,85427.79,-63483.47,-0.0
PLAYERS AND ELECTRONICS,2016,normal,665448.8,664730.93,79249.43,-78531.56,0.0
PLAYERS AND ELECTRONICS,2017,normal,-452061.62,-443749.61,48045.64,-56357.66,-0.0
POULTRY,2014,normal,2117541.18,2930837.0,-361986.76,-451309.05,-0.0
POULTRY,2015,normal,-511563.46,215534.92,-223420.01,-503678.37,-0.0
POULTRY,2016,normal,-166605.15,-51324.1,390251.06,-505532.1,-0.0
POULTRY,2017,normal,-1957670.48,-2090283.74,400071.18,-267457.93,-0.0
PREPARED FOODS,2014,normal,179548.85,217621.5,92018.88,-130091.53,-0.0
PREPARED FOODS,2015,normal,188158.43,259843.02,76041.54,-147726.12,-0.0
PREPARED FOODS,2016,normal,-74188.66,107424.63,-31283.88,-150329.42,0.0
PREPARED FOODS,2017,normal,-1169202.12,-1160254.19,65695.7,-74643.63,0.0
PRODUCE,2014,normal,7106416.48,8475030.68,-891449.57,-477164.63,-0.0
PRODUCE,2015,normal,153592.85,733814.72,23604.96,-603826.83,0.0
PRODUCE,2016,normal,4419010.89,5251147.92,-86026.85,-746110.18,-0.0
PRODUCE,2017,normal,-4508532.56,-3918665.56,-66969.75,-522897.24,-0.0
SCHOOL AND OFFICE SUPPLIES,2014,assortment_change,36798.24,36798.24,0.0,0.0,0.0
SCHOOL AND OFFICE SUPPLIES,2015,normal,9870.17,16099.24,-4727.99,-1501.09,-0.0
SCHOOL AND OFFICE SUPPLIES,2016,normal,24399.1,39766.79,-13003.99,-2363.7,0.0
SCHOOL AND OFFICE SUPPLIES,2017,normal,6430.79,27739.5,-17717.26,-3591.46,0.0
SEAFOOD,2014,normal,29160.65,99885.23,-14062.13,-56662.44,-0.0
SEAFOOD,2015,normal,-19991.04,92961.46,-52481.85,-60470.64,-0.0
SEAFOOD,2016,normal,-159503.61,-25036.83,-73866.14,-60600.63,0.0
SEAFOOD,2017,normal,-243820.1,-295659.82,81700.04,-29860.33,0.0
